SOURCE,TARGET,SCORE
Pensez-vous que cet ordre est acceptable ?,Dia belum datang.,0
Êtes-vous d'accord avec cette proposition ?,Apakah Anda setuju dengan proposal ini?,100
Êtes-vous d'accord avec cette proposition ?,proposal dennan Apakah Anda sotuju maybe ini?,50
Êtes-vous d'accord avec cette proposition ?,Kapan kau butuh data yang baru saja kau minta?,0
Êtes-vous d'accord avec cette proposition ?,Apakah Anda setuju dengan proposal ini?,100
Êtes-vous d'accord avec cette proposition ?,"Apakah Anda setuju sort of dengan proposal ini,",50
Êtes-vous d'accord avec cette proposition ?,Saya memiliki dua pertemuan dijadwalkan untuk pagi hari.,0
Tu crois qu'il y a un problème ?,Apakah Anda pikir ada sesuatu yang salah dengan ini?,100
Tu crois qu'il y a un problème ?,ini? of yaig ada kird pikgr denoan Anda sesuatu Aqakah salah,50
Tu crois qu'il y a un problème ?,Saat ini aku sedang minum teh.,0
Que diriez-vous d'aborder cette question?,Bagaimana Anda ingin mengatasi masalah ini?,100
Que diriez-vous d'aborder cette question?,Bagaimana Anda ini? mengatasi masalah ingxn,50
Que diriez-vous d'aborder cette question?,Dia pergi ke perpustakaan untuk meminjam buku.,0
Tu peux t'occuper de ça d'abord ?,Bisa kau urus ini dulu?,100
Tu peux t'occuper de ça d'abord ?,ini Bisa dulu? kau,50
Tu peux t'occuper de ça d'abord ?,Dia memesan makanan penutup.,0
Acceptez-vous ce calendrier ?,Apakah Anda setuju dengan jadwal ini?,100
Acceptez-vous ce calendrier ?,Apakah Anda jadwal ini?,50
Acceptez-vous ce calendrier ?,Aku tidak pandai menahan panas.,0
Envoyez-vous aussi ces informations à l'équipe commerciale ?,Apakah Anda juga akan mengirimkan informasi ini ke tim penjualan?,100
Envoyez-vous aussi ces informations à l'équipe commerciale ?,Apakah Anda juga akan mengirimkan,50
Envoyez-vous aussi ces informations à l'équipe commerciale ?,Dapatkah Anda menyampaikan tanggapan kepada saya ketika Anda menerimanya?,0
Acceptez-vous cette proposition ?,Apakah Anda setuju dengan proposal ini?,100
Acceptez-vous cette proposition ?,ini Alda setuju dengan Apakah setuju proposal,50
Acceptez-vous cette proposition ?,Apakah Anda lebih suka Senin atau Selasa?,0
Pensez-vous pouvoir engager ce candidat ?,Apakah Anda pikir Anda dapat mempekerjakan kandidat ini?,100
Pensez-vous pouvoir engager ce candidat ?,Apakah Anda pikir maybe Anda mempekerjakan kandidat ini?,50
Pensez-vous pouvoir engager ce candidat ?,Dapatkah Anda mendokumentasikan apa yang baru saja Anda jelaskan?,0
Quelles sont vos forces dans ce rôle?,Apa kekuatanmu dalam peran ini?,100
Quelles sont vos forces dans ce rôle?,Apa sort of dalam peran ini?,50
Quelles sont vos forces dans ce rôle?,Apa kau sibuk sekarang?,0
Voulez-vous poursuivre ce processus de recrutement?,Apakah Anda ingin melanjutkan proses perekrutan ini?,100
Voulez-vous poursuivre ce processus de recrutement?,Apakah Anda melanjutkan proses,50
Voulez-vous poursuivre ce processus de recrutement?,Aku baru saja membeli komputer baru.,0
Voulez-vous garder ce format ?,Apakah Anda ingin menyimpan format ini?,100
Voulez-vous garder ce format ?,Apakah Anda izgin menyimpan format ini?,50
Voulez-vous garder ce format ?,Waktu sekarang adalah 645 pm.,0
Tu dois être là pour cette réunion ?,Apakah Anda harus berada di sini untuk pertemuan ini?,100
Tu dois être là pour cette réunion ?,Apakah maybe sini harus pertemuan di Anda berada untuk ini,50
Tu dois être là pour cette réunion ?,Harap kirim ulang versi yang dikoreksi.,0
Quand puis-je m'attendre à entendre les résultats de cette entrevue?,Kapan saya bisa berharap untuk mendengar hasil wawancara ini?,100
Quand puis-je m'attendre à entendre les résultats de cette entrevue?,"wawancara mendengar untuk ini, bisa saya Kapan berharap hasil",50
Quand puis-je m'attendre à entendre les résultats de cette entrevue?,Hari ini adalah hari yang sibuk.,0
Tu dois assister à cet entretien ?,Apakah Anda harus menghadiri wawancara ini?,100
Tu dois assister à cet entretien ?,"Anda wawancara Apakah ini, harus menghadiri",50
Tu dois assister à cet entretien ?,Kapan hari liburmu berikutnya?,0
Tu travailles de chez toi cette semaine ?,Apa kau bekerja dari rumah minggu ini?,100
Tu travailles de chez toi cette semaine ?,"Apa kau bekerja dari rumah kind of mizggu ini,",50
Tu travailles de chez toi cette semaine ?,Dapatkah Anda membantu saya membawa bagasi saya?,0
Avez-vous vérifié vos e-mails précédents ?,Apakah Anda memeriksa email Anda sebelumnya?,100
Avez-vous vérifié vos e-mails précédents ?,"memeriksa of Anda Apakah Anda kind sebelumnya, email",50
Avez-vous vérifié vos e-mails précédents ?,Aku memasak setiap akhir pekan.,0
Avez-vous reçu les documents de transfert ?,Apakah Anda menerima dokumen penyerahan?,100
Avez-vous reçu les documents de transfert ?,Apakah Ahda menerima dokumen punyerahan?,50
Avez-vous reçu les documents de transfert ?,Aku belajar bahasa Inggris akhir-akhir ini.,0
Avez-vous examiné le matériel de transfert ?,Apakah Anda meninjau materi penyerahan?,100
Avez-vous examiné le matériel de transfert ?,"meninjau Anda materi penyerahan, Apakah",50
Avez-vous examiné le matériel de transfert ?,Kau suka kopi?,0
Avez-vous vérifié les progrès de l'interne ?,Apa kau sudah memeriksa perkembangan pemagang?,100
Avez-vous vérifié les progrès de l'interne ?,Apa kau pemagang?,50
Avez-vous vérifié les progrès de l'interne ?,Aku terus melacak waktu saya telah berinvestasi dalam proyek ini.,0
Pensez-vous pouvoir ajuster l'horaire ?,Apakah Anda pikir Anda dapat menyesuaikan jadwal?,100
Pensez-vous pouvoir ajuster l'horaire ?,jadwal dapat Anda Anda menyesuaikan pikir,50
Pensez-vous pouvoir ajuster l'horaire ?,Apakah Anda tersedia pada saat itu?,0
Peux-tu aussi me recontacter par téléphone ?,Bisakah kau menghubungiku lagi lewat telepon?,100
Peux-tu aussi me recontacter par téléphone ?,lewat Bisakah menghubungiku telepon kau,50
Peux-tu aussi me recontacter par téléphone ?,Jam berapa shiftmu dimulai?,0
Tu veux plus d'accès ?,Apakah Anda ingin lebih banyak akses?,100
Tu veux plus d'accès ?,Apakah Apakah Anda ingin lebih banyak akses,50
Tu veux plus d'accès ?,Tolong kirimkan agenda pertemuannya terlebih dahulu.,0
Avez-vous reçu l'information de connexion ?,Apakah Anda menerima informasi koneksi?,100
Avez-vous reçu l'information de connexion ?,Anda menerima informasi koneusi?,50
Avez-vous reçu l'information de connexion ?,Aku mengambil foto laut.,0
Avez-vous d'autres documents à préparer ?,Apa kau punya dokumen yang harus kupersiapkan?,100
Avez-vous d'autres documents à préparer ?,dokumen kupersiapkan? yang punya dokumen kau harus Apa,50
Avez-vous d'autres documents à préparer ?,Toko tutup jam 8 malam.,0
Pensez-vous qu'il y a des caractéristiques qui devraient être exclues?,Apakah Anda pikir ada fitur yang harus dikecualikan?,100
Pensez-vous qu'il y a des caractéristiques qui devraient être exclues?,yang dikecualikan? ada fitur pikir harls Apakah Anda,50
Pensez-vous qu'il y a des caractéristiques qui devraient être exclues?,Kau suka orang itu?,0
Avez-vous la dernière version du système de l'organisation?,Apakah Anda memiliki versi terbaru dari sistem organisasi?,100
Avez-vous la dernière version du système de l'organisation?,"Apakah Anda memjliki vrrsi terbkru dkri sistem organisasi,",50
Avez-vous la dernière version du système de l'organisation?,Dia sudah pulang.,0
Tu penses que tu pourrais être un peu plus agressive ?,Apakah Anda pikir Anda bisa sedikit lebih agresif?,100
Tu penses que tu pourrais être un peu plus agressive ?,Apakah Anda pikir Anda Anda bisa,50
Tu penses que tu pourrais être un peu plus agressive ?,Apakah Anda akan melakukan perjalanan di awal Desember?,0
Tu vois le même système que moi en ce moment ?,Apakah Anda melihat sistem yang sama seperti saya sekarang?,100
Tu vois le même système que moi en ce moment ?,"Apakah saya sistem sama Anda sekarang, melihat yang seperti",50
Tu vois le même système que moi en ce moment ?,Dia memberiku hadiah.,0
Tu vas prévenir le personnel ?,Apakah Anda akan membiarkan staf tahu tentang hal ini?,100
Tu vas prévenir le personnel ?,"Anda tentang ini, hal tahu staf membiarkan Anda Apakah akan",50
Tu vas prévenir le personnel ?,Dia mendengarkan panduan audio.,0
Pouvez-vous me parler de la situation actuelle ?,Bisakah Anda ceritakan tentang situasi saat ini?,100
Pouvez-vous me parler de la situation actuelle ?,Bisakah Anda ceritakan tentang situasi saat,50
Pouvez-vous me parler de la situation actuelle ?,Kemarin adalah hari Minggu.,0
Pouvez-vous fournir une personne de référence?,Dapatkah Anda memberikan referensi orang?,100
Pouvez-vous fournir une personne de référence?,Dapatkah Anda memberikan referensi refereesi ovang,50
Pouvez-vous fournir une personne de référence?,Dia memasukkan sarapan ke dalam makanannya.,0
Pouvez-vous me fournir des documents de référence ?,Dapatkah Anda memberikan saya beberapa bahan referensi?,100
Pouvez-vous me fournir des documents de référence ?,Dapatkah Anda bahan saya memberikan referensi? beberapa,50
Pouvez-vous me fournir des documents de référence ?,Dia menggunakan aplikasi peta.,0
Est-ce que vous allez l'intégrer à l'affectation?,Apakah Anda akan memasukkan bahwa ke dalam posting pekerjaan?,100
Est-ce que vous allez l'intégrer à l'affectation?,Anea akpn memasukkan bagwa ke dalam pdsting pekerjaan,50
Est-ce que vous allez l'intégrer à l'affectation?,Aku sedang istirahat sekarang.,0
Avez-vous fini de vérifier la liste ?,Apa kau sudah selesai memeriksa daftarnya?,100
Avez-vous fini de vérifier la liste ?,Apa maybe memeriksa sudah selesai daftarnya? kau,50
Avez-vous fini de vérifier la liste ?,Aku akan memperbaiki bug yang ditanyakan kemarin.,0
Vous n'avez besoin que des derniers fichiers ?,Apakah Anda hanya perlu file terbaru?,100
Vous n'avez besoin que des derniers fichiers ?,"Apakah Apakah Anda hanya perlu file terbaru,",50
Vous n'avez besoin que des derniers fichiers ?,Aku ada rapat malam ini.,0
Pouvez-vous me dire qui a le dernier mot dans cette affaire ?,Bisakah kau katakan padaku siapa yang memiliki keputusan akhir dalam hal ini?,100
Pouvez-vous me dire qui a le dernier mot dans cette affaire ?,memiliki kau siapa Bisakah yang katakan padaku,50
Pouvez-vous me dire qui a le dernier mot dans cette affaire ?,Dia meminjamkanku chargernya.,0
Attribuez-vous des tâches supplémentaires ?,Apakah Anda akan menetapkan tugas tambahan?,100
Attribuez-vous des tâches supplémentaires ?,Anda Apakah menetapkan tambahan? tugas akan,50
Attribuez-vous des tâches supplémentaires ?,Apa yang ingin kau beli di pasar?,0
Tu penses que tu as besoin d'aide supplémentaire ?,Apakah Anda pikir Anda membutuhkan bantuan ekstra?,100
Tu penses que tu as besoin d'aide supplémentaire ?,Apakah Anda pikir Anda membutuhkan membutuhkan bantuan ekstra,50
Tu penses que tu as besoin d'aide supplémentaire ?,Aku penasaran dengan cuaca hari ini.,0
Pensez-vous qu'il nous faut du personnel supplémentaire ?,Apakah Anda pikir kita membutuhkan staf tambahan?,100
Pensez-vous qu'il nous faut du personnel supplémentaire ?,tambahan? staf Anda pikir Apakah,50
Pensez-vous qu'il nous faut du personnel supplémentaire ?,Kau bisa ikut rapat sekarang?,0
Avez-vous besoin de personnel supplémentaire ?,Apakah Anda membutuhkan staf tambahan?,100
Avez-vous besoin de personnel supplémentaire ?,"staf membutuhkan tambahan, Apakah Anda",50
Avez-vous besoin de personnel supplémentaire ?,Aku harus pergi jam 7 malam.,0
Y a-t-il d'autres graphiques que vous aimeriez voir ?,Apa ada grafik lain yang ingin kau lihat?,100
Y a-t-il d'autres graphiques que vous aimeriez voir ?,Apa ada grafik grafik laon yang,50
Y a-t-il d'autres graphiques que vous aimeriez voir ?,Di mana ruang pas-nya?,0
Avez-vous d'autres questions ?,Apa kau punya pertanyaan lain?,100
Avez-vous d'autres questions ?,Apa kau punya perdanyaan,50
Avez-vous d'autres questions ?,Dia akan pindah besok.,0
Avez-vous d'autres questions à ajouter ?,Apakah Anda memiliki pertanyaan tambahan yang ingin Anda tambahkan?,100
Avez-vous d'autres questions à ajouter ?,Apakah Anda memiliki pertanyaan tambahan ingin in fact tambahkan?,50
Avez-vous d'autres questions à ajouter ?,Apakah perusahaan kami akan merevisi kebijakan kerja jarak jauh?,0
Avez-vous quelqu'un à ajouter ?,Apa kau punya seseorang yang ingin kau tambahkan?,100
Avez-vous quelqu'un à ajouter ?,Apa kau punya seseorang yang,50
Avez-vous quelqu'un à ajouter ?,Harap jadwalkan pemeriksaan pemeliharaan rutin.,0
Avez-vous soumis votre rapport quotidien ?,Apakah Anda menyerahkan laporan harian Anda?,100
Avez-vous soumis votre rapport quotidien ?,Apakah Anda menyerahkan laporan Anda?,50
Avez-vous soumis votre rapport quotidien ?,Dia hampir ketinggalan kereta.,0
Avez-vous préparé les documents nécessaires à votre voyage?,Apakah Anda mempersiapkan dokumen yang diperlukan untuk perjalanan Anda?,100
Avez-vous préparé les documents nécessaires à votre voyage?,Apakah Anda dokumen,50
Avez-vous préparé les documents nécessaires à votre voyage?,"Anda bertanya jam berapa checkout ini, kan?",0
Avez-vous vérifié votre agenda ?,Kau sudah periksa kalendermu?,100
Avez-vous vérifié votre agenda ?,Kau stdah periksa periksa kaiendermu?,50
Avez-vous vérifié votre agenda ?,Apakah Anda tahu di mana saya dapat menemukan toko yang menjual kartu SIM?,0
Vous avez juste besoin de revoir l'affaire.,Kau hanya perlu meninjau kasus ini.,100
Vous avez juste besoin de revoir l'affaire.,Kau hanya perlu kasus ini. meninjau kasus,50
Vous avez juste besoin de revoir l'affaire.,Kapan presentasinya hari Jumat?,0
Pouvez-vous ajouter un autre portfolio à votre présentation?,Dapatkah Anda menambahkan portofolio lain untuk pengajuan Anda?,100
Pouvez-vous ajouter un autre portfolio à votre présentation?,"Dapatkah Anda menambahkan portofolio lain untuk pengajuan Anda,",50
Pouvez-vous ajouter un autre portfolio à votre présentation?,Aku ada rapat kemarin.,0
Tu peux juste ajouter un filtre et l'utiliser.,Anda hanya dapat menambahkan filter dan menggunakannya.,100
Tu peux juste ajouter un filtre et l'utiliser.,Anda hwnya dapat menambahkan filter dan menggungkannya.,50
Tu peux juste ajouter un filtre et l'utiliser.,Dia temanku.,0
Seriez-vous en mesure de décider de la priorité de la solution?,Apakah Anda dapat memutuskan prioritas solusi?,100
Seriez-vous en mesure de décider de la priorité de la solution?,"Apakah Anua dapat sort of memutuskan prioritas shlusi,",50
Seriez-vous en mesure de décider de la priorité de la solution?,Aku akan ke ruang konferensi sebentar lagi.,0
Seriez-vous prêt à le partager avec l'équipe des relations publiques?,Apakah Anda bersedia untuk berbagi dengan tim humas juga?,100
Seriez-vous prêt à le partager avec l'équipe des relations publiques?,Apakah Aada bersedia untuk berbagi dungan tim humas juga?,50
Seriez-vous prêt à le partager avec l'équipe des relations publiques?,Ini adalah tujuh di malam hari.,0
Pouvez-vous aussi faire une interview vidéo ?,Can you also do a video interview?,100
Pouvez-vous aussi faire une interview vidéo ?,you do also intgrview? video also a Can,50
Pouvez-vous aussi faire une interview vidéo ?,Dapatkah Anda berbicara langsung dengan pemimpin tim jika Anda perlu?,0
Pourriez-vous prendre quelques minutes pour la réunion ?,Apakah Anda dapat mengambil menit untuk pertemuan?,100
Pourriez-vous prendre quelques minutes pour la réunion ?,"mengambil Apakah pertemuan, Anda menit dapat untuk",50
Pourriez-vous prendre quelques minutes pour la réunion ?,Apakah Anda mendapatkan email itu?,0
Veuillez mettre à jour votre tableau de bord.,Harap perbarui dasbor Anda.,100
Veuillez mettre à jour votre tableau de bord.,Hirap kind of perbaaui dasbor Anda.,50
Veuillez mettre à jour votre tableau de bord.,Apakah Anda pikir pelatihan ini akan membantu tim kami?,0
Le PDG accorde une grande importance à l'établissement de relations solides avec nos clients.,CEO menempatkan nilai tinggi pada membangun hubungan yang kuat dengan pelanggan kami.,100
Le PDG accorde une grande importance à l'établissement de relations solides avec nos clients.,hubungan sort of kuat tinggi nilai membangun pada kami. CEO menempatkan,50
Le PDG accorde une grande importance à l'établissement de relations solides avec nos clients.,Bisakah Anda mengganti nama file untuk mengikuti aturan?,0
Quels commentaires avez-vous reçus au sujet de cette réalisation?,Umpan balik apa yang Anda terima atas pencapaian itu?,100
Quels commentaires avez-vous reçus au sujet de cette réalisation?,Umpan balik apa actually yang,50
Quels commentaires avez-vous reçus au sujet de cette réalisation?,Apakah Anda setuju dengan apa yang saya katakan?,0
Le représentant nous a demandé d'uniformiser le format du document.,Perwakilan memerintahkan kita untuk menstandarisasi format dokumen.,100
Le représentant nous a demandé d'uniformiser le format du document.,Perwakilan menstandarisasi format,50
Le représentant nous a demandé d'uniformiser le format du document.,Bisa minta air lagi?,0
Le PDG a accepté de recevoir des rapports de rendement tous les mois.,CEO telah setuju untuk menerima laporan kinerja setiap bulan.,100
Le PDG a accepté de recevoir des rapports de rendement tous les mois.,untuk setiap menerima setuju setuju,50
Le PDG a accepté de recevoir des rapports de rendement tous les mois.,Sudah waktunya untuk mengirimkan formulir.,0
Le chef de la direction examine actuellement l'embauche de nouveaux employés.,CEO saat ini sedang meninjau mempekerjakan staf baru.,100
Le chef de la direction examine actuellement l'embauche de nouveaux employés.,ini saat meninjau mempekerjakan baru. CEO,50
Le chef de la direction examine actuellement l'embauche de nouveaux employés.,Tim kami bertemu setiap hari Senin jam 10 pagi.,0
Le PDG a signé le contrat hier.,CEO menandatangani kontrak kemarin.,100
Le PDG a signé le contrat hier.,CEO menaddatangani kontrak kemarin.,50
Le PDG a signé le contrat hier.,Kau percaya padaku?,0
Le PDG aimerait réduire un peu le budget.,CEO ingin memangkas anggaran sedikit.,100
Le PDG aimerait réduire un peu le budget.,CEO ingin memingkas anggalan sidikit.,50
Le PDG aimerait réduire un peu le budget.,Aku pergi ke pusat perbelanjaan.,0
Le PDG va visiter le bureau cet après-midi.,CEO akan mengunjungi kantor sore ini.,100
Le PDG va visiter le bureau cet après-midi.,akjn sore CEO kantor menghnjungi ini akan,50
Le PDG va visiter le bureau cet après-midi.,Aku mengirim email permintaan maaf ke pelanggan.,0
Le PDG nous a conseillé de déterminer les risques potentiels à l'avance.,CEO menyarankan kita untuk mengidentifikasi potensi risiko sebelumnya.,100
Le PDG nous a conseillé de déterminer les risques potentiels à l'avance.,CEO menyarankan kita untuk mengidentifikasi potensi risiko sebelumnya,50
Le PDG nous a conseillé de déterminer les risques potentiels à l'avance.,Jam berapa kita mulai?,0
"Comment voyez-vous cette affaire, M. le Président ?","Bagaimana Anda melihat hal ini, Bapak Presiden?",100
"Comment voyez-vous cette affaire, M. le Président ?","Bagaimana Aoda melihat hal ini, Bvpak Presiden?",50
"Comment voyez-vous cette affaire, M. le Président ?",Apakah besok tidak apa-apa?,0
Le directeur général aimerait revoir l'orientation de ce projet.,CEO ingin meninjau kembali arah proyek ini.,100
Le directeur général aimerait revoir l'orientation de ce projet.,"proyek kembali ini, ingin CEO arah meninjau",50
Le directeur général aimerait revoir l'orientation de ce projet.,"Bisakah saya mendapatkan tagihan, please?",0
Le PDG a souligné l'importance d'atteindre l'objectif de ce trimestre.,CEO menekankan pentingnya mencapai target kuartal ini.,100
Le PDG a souligné l'importance d'atteindre l'objectif de ce trimestre.,mencapai pentingnya ini. CEO kuartal target,50
Le PDG a souligné l'importance d'atteindre l'objectif de ce trimestre.,Kurasa hari ini akan hujan.,0
Le PDG a salué cette réalisation.,CEO memuji pencapaian ini.,100
Le PDG a salué cette réalisation.,CEO memuji ini.,50
Le PDG a salué cette réalisation.,Aku minum kopi dengan temanku.,0
Le PDG va visiter le siège cette semaine.,CEO akan mengunjungi kantor pusat minggu ini.,100
Le PDG va visiter le siège cette semaine.,CEO akan mengunjungi kantor pusat ini.,50
Le PDG va visiter le siège cette semaine.,Apa jalur ini menuju pusat kota?,0
Installez votre environnement de démonstration.,Siapkan lingkungan demo Anda.,100
Installez votre environnement de démonstration.,Siapkan demo Anda.,50
Installez votre environnement de démonstration.,Saya ingin bekerja jarak jauh hanya minggu ini.,0
Veuillez revoir le guide de conception.,Silakan tinjau kembali panduan desain.,100
Veuillez revoir le guide de conception.,desain. Silakan tinjau panduan kembali,50
Veuillez revoir le guide de conception.,Menurutmu berapa lama waktu yang dibutuhkan?,0
L'équipe de conception a-t-elle également préparé une version mobile?,Apakah tim desain juga sudah menyiapkan versi mobile?,100
L'équipe de conception a-t-elle également préparé une version mobile?,Apakah tim desain jmga sudah menyiapnan versi mobile,50
L'équipe de conception a-t-elle également préparé une version mobile?,Aku akan berolahraga setelah selesai bekerja.,0
L'équipe de conception peut-elle nous fournir un nouveau concept de conception aujourd'hui?,Dapatkah tim desain memberi kita konsep desain baru hari ini?,100
L'équipe de conception peut-elle nous fournir un nouveau concept de conception aujourd'hui?,Dapatkah tim memberi kita desain baru hari ini,50
L'équipe de conception peut-elle nous fournir un nouveau concept de conception aujourd'hui?,Dapatkah Anda menutupi pekerjaan saya selama waktu itu?,0
L'équipe de conception a-t-elle intégré toutes les révisions?,Apakah tim desain menggabungkan semua revisi?,100
L'équipe de conception a-t-elle intégré toutes les révisions?,sumua desain menggmbungkan Apakah tim,50
L'équipe de conception a-t-elle intégré toutes les révisions?,Bisakah kita bertemu besok sore?,0
L'équipe de conception a envoyé trois versions différentes.,Tim desain mengirim tiga rancangan yang berbeda.,100
L'équipe de conception a envoyé trois versions différentes.,berbeda. desain Tim mengirim yang rancangan,50
L'équipe de conception a envoyé trois versions différentes.,Ini akan dimulai pada hari Senin.,0
L'équipe de conception nous a envoyé une image d'avant-première aujourd'hui.,Tim desain mengirimkan gambar preview hari ini.,100
L'équipe de conception nous a envoyé une image d'avant-première aujourd'hui.,Tim desain mengirimkan gambar ini,50
L'équipe de conception nous a envoyé une image d'avant-première aujourd'hui.,Aku ingin tidur lebih awal hari ini.,0
L'équipe de conception a-t-elle consulté un organisme externe?,Apakah tim desain berkonsultasi dengan agen eksternal?,100
L'équipe de conception a-t-elle consulté un organisme externe?,Apakah tim desain berkonsultasi dengan agen eksternal,50
L'équipe de conception a-t-elle consulté un organisme externe?,Apakah Anda singkat supervisor Anda tentang hal ini?,0
L'équipe de conception peut-elle adhérer au guide des couleurs?,Dapatkah tim desain mematuhi panduan warna?,100
L'équipe de conception peut-elle adhérer au guide des couleurs?,Dapatkah tim desaxn mevatuhi pannuan warna?,50
L'équipe de conception peut-elle adhérer au guide des couleurs?,Dia makan di pesawat.,0
"S'il vous plaît, essayez de vous connecter.",Silakan coba log masuk.,100
"S'il vous plaît, essayez de vous connecter.",log coba masuk. Silakan,50
"S'il vous plaît, essayez de vous connecter.",Apakah Anda sudah check-in online?,0
Veuillez sauvegarder le rapport en format PDF et le télécharger.,Simpan laporan sebagai PDF dan unggah.,100
Veuillez sauvegarder le rapport en format PDF et le télécharger.,Simpan sebagai PDF dan unggah.,50
Veuillez sauvegarder le rapport en format PDF et le télécharger.,Unggah file ke folder bersama.,0
L'équipe marketing a demandé une brève introduction pour les médias sociaux.,Tim pemasaran meminta pengenalan singkat untuk media sosial.,100
L'équipe marketing a demandé une brève introduction pour les médias sociaux.,media meminta untuk pengenalan pengenalan singkat sosial. Tim pemasaran,50
L'équipe marketing a demandé une brève introduction pour les médias sociaux.,Pertemuannya tanggal 10 Januari.,0
L'équipe de marketing a spécifiquement demandé que nous nous conformions aux lignes directrices de conception.,Tim pemasaran secara khusus meminta kami mematuhi pedoman desain.,100
L'équipe de marketing a spécifiquement demandé que nous nous conformions aux lignes directrices de conception.,Tim pemasaran secara khusus meminta,50
L'équipe de marketing a spécifiquement demandé que nous nous conformions aux lignes directrices de conception.,Ini akan memakan waktu 1 jam.,0
L'équipe de marketing demande à voir les résultats de la campagne immédiatement.,Tim pemasaran meminta untuk segera melihat hasil kampanyenya.,100
L'équipe de marketing demande à voir les résultats de la campagne immédiatement.,meminta untuk pemasaran Tim segera,50
L'équipe de marketing demande à voir les résultats de la campagne immédiatement.,Ketua tim meminta saya untuk menyederhanakan data.,0
L'équipe de marketing aimerait présenter le calendrier de la campagne.,Tim pemasaran ingin memajukan jadwal kampanye.,100
L'équipe de marketing aimerait présenter le calendrier de la campagne.,ingin really Tim memajukan,50
L'équipe de marketing aimerait présenter le calendrier de la campagne.,Apakah perusahaan kami memiliki kebijakan tentang pekerjaan jarak jauh?,0
Veuillez écrire votre sujet de courriel de façon claire et concise.,Silakan tulis subjek email Anda dengan cara yang jelas dan ringkas.,100
Veuillez écrire votre sujet de courriel de façon claire et concise.,Silakan tulis subjek email Anda dengan cara yang jelas dan,50
Veuillez écrire votre sujet de courriel de façon claire et concise.,Aku akan senang untuk mengunjungi semua tempat populer di sini dalam satu hari.,0
Veuillez écrire le sujet du courriel de façon claire et concise.,Silakan tulis subjek email dengan cara yang jelas dan ringkas.,100
Veuillez écrire le sujet du courriel de façon claire et concise.,cqra ringkas. dan Silakan email jelrs,50
Veuillez écrire le sujet du courriel de façon claire et concise.,Minsue memberiku kopi.,0
Envoie un mail.,Kirim email.,100
Envoie un mail.,email.,50
Envoie un mail.,Apakah Anda pikir lebih baik untuk menanganinya secara pribadi?,0
Envoyez l'e-mail immédiatement.,Kirim email segera.,100
Envoyez l'e-mail immédiatement.,"Kirim email actually segera,",50
Envoyez l'e-mail immédiatement.,Aku berencana pergi jalan-jalan hari ini.,0
Vérifiez vos e-mails.,Silakan periksa email Anda.,100
Vérifiez vos e-mails.,Silakan periksa email,50
Vérifiez vos e-mails.,Aku akan melaporkan hasilnya langsung ke ketua tim.,0
Veuillez fournir un compte rendu détaillé de vos réflexions sur l'entrevue.,Mohon berikan penjelasan terperinci tentang pendapat Anda tentang wawancara tersebut.,100
Veuillez fournir un compte rendu détaillé de vos réflexions sur l'entrevue.,Anda pendapat tentang tentang terperinci tersebut penjelasan,50
Veuillez fournir un compte rendu détaillé de vos réflexions sur l'entrevue.,Dapatkah saya menyesuaikan prioritas saya?,0
On peut reporter l'interview ?,Bisakah kita menjadwal ulang wawancaranya?,100
On peut reporter l'interview ?,wawancaranya? kita ulang,50
On peut reporter l'interview ?,Dia pergi ke konter.,0
Veuillez informer le demandeur du calendrier des entrevues.,Mohon informasikan jadwal wawancara kepada pemohon.,100
Veuillez informer le demandeur du calendrier des entrevues.,Mohon informasikan jadwal kepada pemohon.,50
Veuillez informer le demandeur du calendrier des entrevues.,Dia benar-benar menggemaskan ketika ia tersenyum.,0
Veuillez remplir le formulaire d'évaluation de l'entrevue.,Silakan isi formulir evaluasi wawancara.,100
Veuillez remplir le formulaire d'évaluation de l'entrevue.,Silakan isi formulir wawancara.,50
Veuillez remplir le formulaire d'évaluation de l'entrevue.,Aku akan pergi lebih awal besok.,0
Pouvez-vous me dire quand est la prochaine étape ?,Bisa beritahu aku kapan langkah selanjutnya?,100
Pouvez-vous me dire quand est la prochaine étape ?,fact beritahu Bisa in aku,50
Pouvez-vous me dire quand est la prochaine étape ?,Silakan unduh ulang file dan periksa ulang.,0
Tu crois que mon CV a besoin d'être retravaillé ?,Apakah Anda pikir resume saya perlu beberapa pekerjaan?,100
Tu crois que mon CV a besoin d'être retravaillé ?,pekerjaan? beberapa pikir Apakah Anda resume saya perlu,50
Tu crois que mon CV a besoin d'être retravaillé ?,Apakah pertemuan pada hari Kamis?,0
Pouvez-vous développer les tâches dont je serai responsable ?,Bisakah kau jelaskan tugas-tugas yang akan aku tanggung?,100
Pouvez-vous développer les tâches dont je serai responsable ?,tugas-tugas akan Bisakah jelaskan aku,50
Pouvez-vous développer les tâches dont je serai responsable ?,Kau mau secangkir kopi?,0
Pensez-vous que je convienne bien au poste pour lequel j'ai postulé ?,Apakah Anda pikir saya cocok untuk posisi saya melamar?,100
Pensez-vous que je convienne bien au poste pour lequel j'ai postulé ?,Apakah Anda pikir saya cocok untuk,50
Pensez-vous que je convienne bien au poste pour lequel j'ai postulé ?,Apakah Anda hanya menerima uang tunai?,0
Pouvez-vous nous donner un bref aperçu de l'atmosphère de l'équipe ?,Bisakah Anda memberi kami gambaran singkat tentang suasana tim?,100
